nom_enseigne,longitude,latitude,territoryLabel
E. LECLERC DRIVE,2.4113573,48.7954742,ILE-DE-FRANCE
E. LECLERC DRIVE,2.952633,50.604758,NORD
E. LECLERC DRIVE,2.91771,48.95691,ILE-DE-FRANCE
E. LECLERC DRIVE,5.8583875,43.1146508,SUD
E. LECLERC DRIVE,4.75342,44.28841,SUD
E. LECLERC DRIVE,2.323919,43.231255,SUD
E. LECLERC DRIVE,4.748987,44.5311,SUD
E. LECLERC DRIVE,4.8808449,44.9606511,SUD
E. LECLERC DRIVE,-2.1264903,47.1260201,OUEST
E. LECLERC DRIVE,2.263051,50.744665,NORD
E. LECLERC DRIVE,4.106362,44.135532,SUD
E. LECLERC DRIVE,3.9351413,43.6603773,SUD
E. LECLERC DRIVE,4.458593,45.887372,SUD
E. LECLERC DRIVE,2.6216287,50.5181421,NORD
E. LECLERC DRIVE,3.31295,49.36328,NORD
E. LECLERC DRIVE,2.577547,48.709869,ILE-DE-FRANCE
E. LECLERC DRIVE,4.0623563,46.056479,SUD
E. LECLERC DRIVE,0.1812109,48.0246945,OUEST
E. LECLERC DRIVE,-2.2503231,47.2874099,OUEST
E. LECLERC DRIVE,2.1927834,49.0047736,ILE-DE-FRANCE
E. LECLERC DRIVE,-3.325391,48.6429925,OUEST
E. LECLERC DRIVE,2.248529,49.125325,ILE-DE-FRANCE
E. LECLERC DRIVE,0.75559,45.18885,SUD
E. LECLERC DRIVE,-1.1956438,47.3734491,OUEST
E. LECLERC DRIVE,-0.0554701,47.7025156,OUEST
E. LECLERC DRIVE,-4.3230896,48.4722352,OUEST
E. LECLERC DRIVE,-3.5691286,47.8697475,OUEST
E. LECLERC DRIVE,6.426397,48.1905311,EST
E. LECLERC DRIVE,-1.522273,48.1072116,OUEST
E. LECLERC DRIVE,5.22668,46.62261,EST
E. LECLERC DRIVE,-0.632438,48.2968,OUEST
E. LECLERC DRIVE,-0.4125998,46.3316495,SUD
E. LECLERC DRIVE,0.437896,47.686651,OUEST
E. LECLERC DRIVE,3.9460344,49.0220162,EST
E. LECLERC DRIVE,2.7497232,49.0973436,NORD
E. LECLERC DRIVE,4.6927178,45.2556233,SUD
E. LECLERC DRIVE,-0.7092669,44.8652708,SUD
E. LECLERC DRIVE,2.25787,49.16048,NORD
E. LECLERC DRIVE,-0.4838828,43.867186,SUD
E. LECLERC DRIVE,5.20786,43.411576,SUD
E. LECLERC DRIVE,3.1233615,50.5774641,NORD
E. LECLERC DRIVE,-0.4692238,46.3291102,SUD
E. LECLERC DRIVE,-3.814438,48.5893418,OUEST
E. LECLERC DRIVE,2.00445,47.90178,OUEST
E. LECLERC DRIVE,5.2452195,43.4412938,SUD
E. LECLERC DRIVE,-0.3160152,49.1535536,NORD
E. LECLERC DRIVE,1.5165746,43.6679609,SUD
E. LECLERC DRIVE,5.0413363,45.0223138,SUD
E. LECLERC DRIVE,7.040117,48.731744,EST
E. LECLERC DRIVE,6.8643769,47.6304482,EST
E. LECLERC DRIVE,3.0981409,48.8018186,ILE-DE-FRANCE
E. LECLERC DRIVE,4.0162987,49.2030199,EST
E. LECLERC DRIVE,-3.9166185,47.8883671,OUEST
E. LECLERC DRIVE,-0.368142,49.2050923,NORD
E. LECLERC DRIVE,2.16772,48.87482,ILE-DE-FRANCE
E. LECLERC DRIVE,0.0909169,47.006799,SUD
E. LECLERC DRIVE,-0.090749,47.263674,OUEST
E. LECLERC DRIVE,-1.5760157,47.1932888,OUEST
E. LECLERC DRIVE,2.73964,47.97404,OUEST
E. LECLERC DRIVE,-3.0055064,47.6618468,OUEST
E. LECLERC DRIVE,5.3796171,43.8831428,SUD
E. LECLERC DRIVE,6.52381,47.67712,EST
E. LECLERC DRIVE,6.139368,49.06542,EST
E. LECLERC DRIVE,2.1719436,50.7236682,NORD
E. LECLERC DRIVE,-0.69084,47.83112,OUEST
E. LECLERC DRIVE,6.97808,43.61117,SUD
E. LECLERC DRIVE,0.183113,45.673293,SUD
E. LECLERC DRIVE,1.4655126,49.0963443,NORD
E. LECLERC DRIVE,-1.4615519,47.1841686,OUEST
E. LECLERC DRIVE,-1.1697945,46.1745607,SUD
E. LECLERC DRIVE,-1.09617,46.161625,SUD
E. LECLERC DRIVE,-1.436325,46.651022,OUEST
E. LECLERC DRIVE,4.858723,45.716991,SUD
E. LECLERC DRIVE,1.0625782,46.6405113,OUEST
E. LECLERC DRIVE,3.8679197,43.5742926,SUD
E. LECLERC DRIVE,0.7734456,49.6124843,NORD
E. LECLERC DRIVE,7.73843,48.596668,EST
E. LECLERC DRIVE,2.8919389,42.7380463,SUD
E. LECLERC DRIVE,4.372325,43.8143614,SUD
E. LECLERC DRIVE,0.3496152,46.6131997,SUD
E. LECLERC DRIVE,3.4629148,43.6122575,SUD
E. LECLERC DRIVE,4.70157,45.85514,SUD
E. LECLERC DRIVE,1.4744589,43.5734182,SUD
E. LECLERC DRIVE,0.0977199,44.3249695,SUD
E. LECLERC DRIVE,5.0759196,43.6366886,SUD
